2023-06-26 21:15:27.164 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext(292) - Root WebApplicationContext: initialization completed in 2301 ms
2023-06-26 21:15:27.403 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure(56) - Init DruidDataSource
2023-06-26 21:15:27.529 [main] WARN  com.alibaba.druid.pool.DruidDataSource(1247) - removeAbandoned is true, not use in production.
2023-06-26 21:15:27.557 [main] INFO  com.alibaba.druid.pool.DruidDataSource(990) - {dataSource-1} inited
2023-06-26 21:15:27.558 [Druid-ConnectionPool-Create-108333023] INFO  com.alibaba.druid.pool.DruidAbstractDataSource(1804) - {dataSource-1} failContinuous is true
2023-06-26 21:15:27.560 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext(591) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'attachServiceImpl': Unsatisfied dependency expressed through field 'taAttachmentService'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'taAttachmentServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'taAttachmentMapper' defined in file [/Users/zhangrui/jiaofuProjects/ink-cloud/ink-core/target/classes/cn/hyperchain/ink/core/dao/mapper/TaAttachmentMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sqlSessionFactory' defined in class path resource [com/baomidou/mybatisplus/autoconfigure/MybatisPlusAutoConfiguration.class]: Unsatisfied dependency expressed through method 'sqlSessionFactory' parameter 0; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dataSource' defined in class path resource [com/alibaba/druid/spring/boot/autoconfigure/DruidDataSourceAutoConfigure.class]: Invocation of init method failed; nested exception is java.sql.SQLException: connect error, url jdbc:p6spy:mysql://127.0.0.1:3306/no_catch_test?useUnicode=true&characterEncoding=utf8&verifyServerCertificate=false&useSSL=false&useOldAliasMetadataBehavior=true&characterEncoding=UTF-8&serverTimezone=GMT%2b8, driverClass com.mysql.cj.jdbc.Driver
2023-06-26 21:15:27.566 [main] INFO  org.apache.catalina.core.StandardService(173) - Stopping service [Tomcat]
2023-06-26 21:15:27.581 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener(136) - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-06-26 21:15:57.541 [main] INFO  cn.hyperchain.ink.web.InkWebApplication(55) - Starting InkWebApplication using Java 1.8.0_291 on zhangruideMacBook-Pro-M1.local with PID 38800 (/Users/zhangrui/jiaofuProjects/ink-cloud/ink-web/target/classes started by zhangrui in /Users/zhangrui/jiaofuProjects/ink-cloud)
2023-06-26 21:15:57.544 [main] INFO  cn.hyperchain.ink.web.InkWebApplication(637) - The following 1 profile is active: "local"
2023-06-26 21:15:58.565 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner(44) - Skipping MapperFactoryBean with name 'taAttachmentMapper' and 'cn.hyperchain.ink.core.dao.mapper.TaAttachmentMapper' mapperInterface. Bean already defined with the same name!
2023-06-26 21:15:58.566 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner(44) - Skipping MapperFactoryBean with name 'taUserMapper' and 'cn.hyperchain.ink.core.dao.mapper.TaUserMapper' mapperInterface. Bean already defined with the same name!
2023-06-26 21:15:58.568 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner(44) - No MyBatis mapper was found in '[cn.hyperchain.ink.*.dao]' package. Please check your configuration.
2023-06-26 21:15:58.751 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(262) - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-26 21:15:58.756 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(132) - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-26 21:15:58.785 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(201) - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2023-06-26 21:15:59.463 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer(108) - Tomcat initialized with port(s): 9003 (http)
2023-06-26 21:15:59.539 [main] INFO  org.apache.catalina.core.StandardService(173) - Starting service [Tomcat]
2023-06-26 21:15:59.541 [main] INFO  org.apache.catalina.core.StandardEngine(173) - Starting Servlet engine: [Apache Tomcat/9.0.70]
2023-06-26 21:15:59.669 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/](173) - Initializing Spring embedded WebApplicationContext
2023-06-26 21:15:59.669 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext(292) - Root WebApplicationContext: initialization completed in 2027 ms
2023-06-26 21:15:59.899 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure(56) - Init DruidDataSource
2023-06-26 21:16:00.024 [main] WARN  com.alibaba.druid.pool.DruidDataSource(1247) - removeAbandoned is true, not use in production.
